,ACIDS,ADDITIONAL INFORMATION,ALCOHOL,BEER TYPE,BITTERNESS,CATEGORY,CHARACTERISTICS,CLOSURE,COUNTRY,DEPOSIT,ENERGY,GRAPE,ICONS,MORE INFORMATION,NAME,PACKAGING,PRICE / LITRE,PRODUCER,PRODUCT NUMBER,REGION1,REGION2,SELECTION,SUGAR,SUPPLIER,TASTE PROFILE,Unnamed: 0,VOLUME,WORT STRENGTH
5950,7.5 g/l,,12.0%,,,Sparkling wine & champagne,Nuanced & structured,natural cork,France,0.1 €,70.0 Kcal / 100ml,,"party wine,fatty fish,seafood,clams, mussels, scallops and oysters",Sold in gift packaging,Hervieux-Dumez Spécial Club Champagne Brut 2013,bottle,65.92 EUR,Hervieux-Dumez,534517,Champagne,AC Champagne,limited quantity product,10.0 g/l,Parisiana,"brut,acidic,citrus notes,green apple notes,hint of peach,mineral notes,minerally,light creamy notes,fresh,refreshing",0,0.75,
5951,6.3 g/l,Lower-alcohol wine,8.0%,,,White wine,Mellow & sweet,metal screw cap,Germany,0.1 €,60.0 Kcal / 100ml,"Silvaner,Rivaner","party wine,oriental food,chicken, turkey,pasta and pizza,metal screw cap",,d:vine Silvaner Rivaner 2017,bottle,13.01 EUR,Moselland Wine Company,516084,Nahe,Qualitätswein Nahe,general selection,35.0 g/l,Pernod Ricard,"medium sweet,medium acidic,apricot notes,pear notes,light honey notes",0,0.375,
5952,5.5 g/l,,14.0%,,,Red wine,Nuanced & developed,natural cork,Italy,,80.0 Kcal / 100ml,Montepulciano,"meditation beverage,grilled food,strong cheeses,game",,Umani Ronchi Campo San Giorgio Conero Riserva 2012,bottle,79.87 EUR,Umani Ronchi,440797,The Marches,DOCG Conero Riserva,limited quantity product,2.0 g/l,Vinetum,"full-bodied,tannic,sour cherry,redcurrant notes,medicinal herb notes,hint of salmiak,leather notes,oak notes",0,0.75,
5953,,,30.0%,,,Gin and other spirits,Flavoured spirits,metal screw cap,Finland,0.1 €,210.0 Kcal / 100ml,,metal screw cap,,FiShot Vodka Shot,bottle,29.84 EUR,Lignell & Piispanen,156567,,,general selection,95.0 g/l,Lignell & Piispanen,"dark brown,medium full bodied,sweet,soft,smooth,rich menthol notes,liquorice notes,fresh,refreshing",0,0.7,
5954,7.2 g/l,,12.0%,,,White wine,Nuanced & structured,metal screw cap,Germany,0.1 €,70.0 Kcal / 100ml,Riesling,"clams, mussels, scallops and oysters,lean fish,salads, vegetarian food,pasta and pizza,metal screw cap",,Tesch Riesling Trocken 1/4 2016,bottle,23.52 EUR,Tesch,565563,Nahe,Qualitätswein Nahe,general selection,5.0 g/l,Winestate,"dry,acidic,apricot notes,green apple notes,ripe citrus notes,hint of birch leaf,mineral notes,minerally,nuanced",0,0.25,
5955,,,5.2%,"lager
(lager)",25.0 EBU,Beer,Lager,crown cap,Sweden,0.1 €,40.0 Kcal / 100ml,,"mild sausages,party wine,savoury snacks,buffet",,Sofiero Original,bottle,8.09 EUR,Kopparbergs Bryggeri,906074,,,sale-to-order selection,,Oy Kopparberg Finland  Ab,"yellow,medium-bodied,medium hopped,grainy notes,fruity,spicy",0,0.33,10.9 °P
5956,4.6 g/l,,12.0%,,,White wine,Nuanced & structured,metal screw cap,France,,70.0 Kcal / 100ml,Sauvignon Blanc,"aperitif,lean fish,seafood,salads, vegetarian food,metal screw cap,organic,suitable for vegans,lighter glass bottle",,Brochet Facile Organic Sauvignon Blanc 2017,bottle,18.64 EUR,Ampelidae,912416,,Vin de France,sale-to-order selection,,LBI Finland,"dry,acidic,currant leaf notes,passion fruit notes,fruity",0,0.75,
5957,,,40.0%,,,Vodka & spirit,Vodka,plastic closure,Russia,,220.0 Kcal / 100ml,,,,Chistaya Vodka,bottle,39.58 EUR,Fortuna Distillery,912248,,,sale-to-order selection,,Inkerikko Cargo Oy,"colourless,dry,warm,grainy notes",0,0.5,
5958,5.6 g/l,,13.5%,,,Red wine,Berried & fresh,metal screw cap,Germany,0.1 €,80.0 Kcal / 100ml,Pinot Noir,"game birds,liver,pasta and pizza,mild cheeses,metal screw cap",,Becker Family Pinot Noir 2014,bottle,23.13 EUR,Friedrich Becker,424177,,Qualitätswein Pfalz,general selection,,Viinitie,"medium-bodied,medium tannic,ripe cranberry notes,cherry notes,blackberry notes,light flowery notes,hint of thyme",0,0.75,
5959,5.1 g/l,,12.5%,,,Sparkling wine & champagne,Crisp & fruity,natural cork,Germany,0.1 €,80.0 Kcal / 100ml,Pinot Noir,"salads, vegetarian food,chicken, turkey,tapas and antipasti,party wine",,Villa Wolf Pinot Noir Rosé Extra Dry,bottle,19.85 EUR,Villa Wolf,592187,,Deutscher Sekt,general selection,14.0 g/l,Winestate,"dry,acidic,raspberry notes,redcurrant notes,light wild strawberry notes,spicy",0,0.75,
5960,5.5 g/l,,14.0%,,,Red wine,Smooth & fruity,metal screw cap,Argentina,0.1 €,80.0 Kcal / 100ml,"Malbec,Bonarda","party wine,grilled food,pork,savoury snacks,metal screw cap",,Fuzion The Coffee Shop Red Blend 2018,bottle,14.25 EUR,La Agricola,458667,Mendoza,Mendoza,general selection,9.0 g/l,Social Wines,"medium-bodied,medium tannic,cherry jam notes,blueberry notes,light mocha notes,milk chocolate notes,spicy",0,0.75,
