,Unnamed: 0,ACIDS,ADDITIONAL INFORMATION,ALCOHOL,BEER TYPE,BITTERNESS,CATEGORY,CHARACTERISTICS,CLOSURE,COUNTRY,DEPOSIT,ENERGY,GRAPE,ICONS,MORE INFORMATION,NAME,PACKAGING,PRICE / LITRE,PRODUCER,PRODUCT NUMBER,REGION1,REGION2,SELECTION,SUGAR,SUPPLIER,TASTE PROFILE,VOLUME,WORT STRENGTH
8136,0,5.0 g/l,,11.5%,,,Sparkling wine & champagne,Smooth & light,plastic closure,Spain,0.1 €,60.0 Kcal / 100ml,"Macabeo,Parellada,Xarel-lo","tapas and antipasti,party wine,aperitif,savoury snacks",,Jaume Serra Cava Brut Nature,bottle,16.75 EUR,Jaume Serra,520513,,DO Cava,general selection,,Social Wines,"brut,medium acidic,ripe apple notes,hint of yellow plum,light baked notes",0.2,
8137,0,5.4 g/l,,13.5%,,,Red wine,Robust & powerful,natural cork,Chile,0.1 €,80.0 Kcal / 100ml,"Cabernet Sauvignon,Syrah,Malbec,Carmenère","beef,spicy and meaty sausages,casseroles,grilled food",,Casillero del Diablo Reserva Especial Cabernet Sauvignon 2017,bottle,16.51 EUR,Concha y Toro,934817,Maule,DO Maule Valley,general selection,,Vct Finland,"full-bodied,tannic,ripe plum notes,strawberry notes,dark cherry notes,ripe cranberry notes,light pepper notes,oak notes,smoky notes",0.75,
8138,0,6.7 g/l,,14.0%,,,White wine,Mellow & sweet,natural cork,France,,80.0 Kcal / 100ml,Gewürztraminer,"oriental food,salads, vegetarian food,savoury snacks,mild cheeses",,Trimbach Gewürztraminer 2015,bottle,30.64 EUR,Trimbach,912407,Alsace,,sale-to-order selection,10.0 g/l,Wennerco,"medium dry,medium acidic,flowery,fruity",0.75,
8139,0,6.7 g/l,,14.0%,,,White wine,Mellow & sweet,natural cork,France,,80.0 Kcal / 100ml,Gewürztraminer,"oriental food,salads, vegetarian food,savoury snacks,mild cheeses",,Trimbach Gewürztraminer 2015,bottle,30.64 EUR,Trimbach,912407,Alsace,,sale-to-order selection,10.0 g/l,Wennerco,"medium dry,medium acidic,flowery,fruity",0.75,
8140,0,6.0 g/l,,12.0%,,,Red wine,Robust & powerful,natural cork,France,,70.0 Kcal / 100ml,"Merlot,Cabernet Sauvignon,Petit Verdot","meditation beverage,strong cheeses,game,beef",A wooden transport packaging,Alter Ego 2013,bottle,104.13 EUR,Château Palmer,409907,Bordeaux,AC Margaux,limited quantity product,,Maison Sichel,"full-bodied,tannic,blackcurrant notes,blackberry notes,light pencil lead notes,oak notes,spicy,long",0.75,
8141,0,,,14.5%,,,Red wine,Robust & powerful,natural cork,France,,80.0 Kcal / 100ml,"Merlot,Cabernet Franc,Cabernet Sauvignon","meditation beverage,beef,game,grilled food",A wooden transport packaging,Château Haut-Brion 2014,bottle,591.33 EUR,Domaine Clarence Dillon,491647,Bordeaux,AC Pessac-Léognan,limited quantity product,,Clarence Dillon Wines,"full-bodied,very tannic,dark cherry notes,arctic bramble notes,currant notes,light paprika notes,pencil lead notes,toasted,roasted,baked,oak notes,multi-dimensional",0.75,
8142,0,,,4.7%,,,Mixed drinks,Flavoured and other,metal screw cap,Finland,0.1 €,50.0 Kcal / 100ml,,metal screw cap,,Koskenkorva Village Tea,bottle,9.33 EUR,Altia,910194,,,general selection,55.0 g/l,Altia,"pale yellow,cloudy,medium-dry,citrus notes,tea notes,fresh,refreshing",0.33,
8143,0,8.6 g/l,,12.0%,,,Sparkling wine & champagne,Generous & toasty,natural cork,France,,70.0 Kcal / 100ml,Pinot Meunier,"meditation beverage,game birds,beef,fatty fish",,Laurent Lequart Pur Meunier Prestige Champagne Extra Brut,bottle,68.91 EUR,Lequart,527857,Champagne,AC Champagne,limited quantity product,7.0 g/l,Vita Vinum,"brut,acidic,lemon notes,apple pie notes,mineral notes,minerally,light oak notes,rich,full-bodied,long",0.75,
8144,0,,Retail price inc. the barrel's deposit,4.5%,"lager
(lager)",22.0 EBU,Beer,Lager,,Finland,58.0 €,40.0 Kcal / 100ml,,"party wine,mild sausages,grilled food,savoury snacks",,Lapin Kulta III keg,keg,4.72 EUR,Hartwall,958258,,,sale-to-order selection,,Hartwall,"golden-yellow,medium-bodied,mildly hopped,fruity",30.0,12.0 °P
8145,0,,,6.3%,"ale
(strong ale)",39.0 EBU,Beer,Ale,crown cap,England,0.1 €,60.0 Kcal / 100ml,,"game,grilled food,mutton, lamb,casseroles",,Fuller's 1845,bottle,8.3 EUR,Fuller's,716026,,,general selection,,Uniq Drinks Finland,"copper-brown,full-bodied,cloudy,strongly hopped,malt bread notes,fruity,nutty,light spice notes",0.5,15.6 °P
